@RELATION activity
@ATTRIBUTE word1 NUMERIC
@ATTRIBUTE word2 NUMERIC
@ATTRIBUTE word3 NUMERIC
@ATTRIBUTE word4 NUMERIC
@ATTRIBUTE word5 NUMERIC
@ATTRIBUTE word6 NUMERIC
@ATTRIBUTE word7 NUMERIC
@ATTRIBUTE word8 NUMERIC
@ATTRIBUTE word9 NUMERIC
@ATTRIBUTE word10 NUMERIC
@ATTRIBUTE word11 NUMERIC
@ATTRIBUTE word12 NUMERIC
@ATTRIBUTE word13 NUMERIC
@ATTRIBUTE word14 NUMERIC
@ATTRIBUTE word15 NUMERIC
@ATTRIBUTE word16 NUMERIC
@ATTRIBUTE word17 NUMERIC
@ATTRIBUTE word18 NUMERIC
@ATTRIBUTE word19 NUMERIC
@ATTRIBUTE word20 NUMERIC
@ATTRIBUTE word21 NUMERIC
@ATTRIBUTE word22 NUMERIC
@ATTRIBUTE word23 NUMERIC
@ATTRIBUTE word24 NUMERIC
@ATTRIBUTE word25 NUMERIC
@ATTRIBUTE word26 NUMERIC
@ATTRIBUTE word27 NUMERIC
@ATTRIBUTE word28 NUMERIC
@ATTRIBUTE word29 NUMERIC
@ATTRIBUTE word30 NUMERIC
@ATTRIBUTE word31 NUMERIC
@ATTRIBUTE word32 NUMERIC
@ATTRIBUTE word33 NUMERIC
@ATTRIBUTE word34 NUMERIC
@ATTRIBUTE word35 NUMERIC
@ATTRIBUTE word36 NUMERIC
@ATTRIBUTE word37 NUMERIC
@ATTRIBUTE word38 NUMERIC
@ATTRIBUTE word39 NUMERIC
@ATTRIBUTE word40 NUMERIC
@ATTRIBUTE word41 NUMERIC
@ATTRIBUTE word42 NUMERIC
@ATTRIBUTE word43 NUMERIC
@ATTRIBUTE word44 NUMERIC
@ATTRIBUTE word45 NUMERIC
@ATTRIBUTE word46 NUMERIC
@ATTRIBUTE word47 NUMERIC
@ATTRIBUTE word48 NUMERIC
@ATTRIBUTE word49 NUMERIC
@ATTRIBUTE word50 NUMERIC
@ATTRIBUTE word51 NUMERIC
@ATTRIBUTE word52 NUMERIC
@ATTRIBUTE word53 NUMERIC
@ATTRIBUTE word54 NUMERIC
@ATTRIBUTE word55 NUMERIC
@ATTRIBUTE word56 NUMERIC
@ATTRIBUTE word57 NUMERIC
@ATTRIBUTE word58 NUMERIC
@ATTRIBUTE word59 NUMERIC
@ATTRIBUTE word60 NUMERIC
@ATTRIBUTE word61 NUMERIC
@ATTRIBUTE word62 NUMERIC
@ATTRIBUTE word63 NUMERIC
@ATTRIBUTE word64 NUMERIC
@ATTRIBUTE word65 NUMERIC
@ATTRIBUTE word66 NUMERIC
@ATTRIBUTE word67 NUMERIC
@ATTRIBUTE word68 NUMERIC
@ATTRIBUTE word69 NUMERIC
@ATTRIBUTE word70 NUMERIC
@ATTRIBUTE word71 NUMERIC
@ATTRIBUTE word72 NUMERIC
@ATTRIBUTE word73 NUMERIC
@ATTRIBUTE class {0,1}
@DATA
174.95,0.80645,0.03067,0.12124,0.75578,0.60838,0.12851,-0.25719,1.4774,0.41856,0.16879,-6.8758,4.482,-2.1627,1.0795,-0.60495,-0.60896,0.50817,-0.74831,0.21256,0.11545,-0.24018,0.35495,-0.20297,0.11833,0.04711,-0.2516,0.28908,-0.068352,-0.04147,0.13356,-0.14308,0.12702,-0.035412,-0.066728,0.12384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041674,0.012573,0.014603,-0.016073,-0.065348,-0.55422,-0.24622,-0.34956,-0.4683,0.36881,-0.5329,0.12711,0.56173,1.0188,0.15419,0.34587,0.10113,-0.069383,-0.47997,-1.2379,-1.0831,-1.0419,-0.88737,-0.71855,-0.61606,-0.41995,-0.29537,-0.19766,-0.071617,-0.0095996,1
167.67,0.78816,0.032098,0.13581,-5.6302,0.59206,0.13456,-0.23217,1.5349,0.44053,0.20942,-7.1571,4.2347,-2.277,1.041,-0.55457,-0.57382,0.42263,-0.81682,0.2791,0.10806,-0.26302,0.40508,-0.21473,0.12393,0.16941,-0.27236,0.26656,-0.063602,-0.077618,0.12534,-0.15185,0.10881,-0.018404,-0.053926,0.11897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016211,0.029746,0.061407,0.011329,0.0045512,0.37663,0.49688,0.69838,0.23481,0.22688,0.13099,0.085266,-0.061404,-0.065472,0.52578,-0.39693,0.50408,-0.45776,-1.3495,-1.1296,-1.0694,-0.93778,-0.77447,-0.64897,-0.46675,-0.34568,-0.25055,-0.12234,-0.021515,1
147.17,0.71362,0.034989,0.12863,-6.4397,0.47239,0.10888,-0.2326,1.3203,0.46588,0.3442,-7.2298,4.2762,-2.3606,0.90576,-0.53623,-0.53222,0.49068,-0.83749,0.17951,0.14318,-0.28735,0.35502,-0.23126,0.04981,0.21671,-0.21859,0.27551,-0.0030529,-0.079161,0.097078,-0.14123,0.12872,-0.0083427,-0.088185,0.12008,0.0,0.0,0.0,0.0,0.0,-0.00018937,-0.00015143,0.00064455,0.011927,0.044267,0.008729,-0.22735,-0.39341,0.29695,-1.7295,-1.335,-0.42558,-1.5684,-1.3852,-0.75499,-1.3464,-1.2815,-1.33,-0.54784,0.57209,-0.32451,-1.1004,-0.91628,-0.91787,-0.80654,-0.69881,-0.63931,-0.51026,-0.44965,-0.43074,-0.31758,-0.21755,1
153.35,0.55263,0.020405,0.081004,-5.3981,0.44203,0.088433,-0.23118,1.4504,0.45217,0.26185,-7.4888,4.146,-2.2082,1.0259,-0.46474,-0.55602,0.38019,-0.7889,0.29361,0.078751,-0.30684,0.42246,-0.19492,0.1073,0.15999,-0.24842,0.28741,-0.057355,-0.084427,0.15677,-0.13212,0.11302,-0.014053,-0.079166,0.12755,0.0,0.0,0.0,0.0,0.0,-0.00044223,-0.0019174,-0.0021264,0.0031966,0.046634,0.15934,0.35845,0.39202,0.19794,0.2215,-0.015082,0.47554,-0.38282,0.22001,0.03356,0.31801,0.63868,0.44783,0.45257,-0.36963,-0.3243,-1.0884,-0.93522,-0.89596,-0.77319,-0.67782,-0.61866,-0.48141,-0.41394,-0.37335,-0.27438,-0.22319,1
164.43,0.6615,0.033883,0.124,-8.9902,0.59591,0.12138,-0.25048,1.516,0.46427,0.25002,-7.4,4.2521,-2.1839,1.0778,-0.33111,-0.67461,0.43459,-0.64976,0.12822,0.094153,-0.303,0.28722,-0.15305,0.082076,0.15947,-0.20354,0.24577,-0.0050611,-0.083351,0.11159,-0.11772,0.080818,0.0044927,-0.065389,0.10365,0.0,0.0,0.0,0.0,0.0,0.0,0.00080166,0.0025741,0.0045905,0.039367,0.093974,0.27343,0.31902,0.013025,0.12457,-0.25042,0.4298,0.28819,0.79013,0.11379,0.25196,0.25569,0.44763,-0.081654,-0.04068,-0.36534,-1.2378,-1.0246,-0.9649,-0.84312,-0.70606,-0.63236,-0.49201,-0.40593,-0.35825,-0.24993,-0.17429,1
259.87,0.55042,0.046036,0.16759,3.1657,0.38701,0.11634,-0.23315,1.4821,0.43823,0.11208,-7.0692,4.1976,-2.1134,1.1063,-0.38103,-0.41037,0.51922,-0.67058,0.34128,0.16048,-0.27356,0.29669,-0.1931,0.053758,0.096241,-0.22868,0.2121,-0.061576,-0.053955,0.090456,-0.094043,0.080249,-0.036456,-0.030412,0.081716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062902,0.0022269,-0.015749,-0.064676,-0.1151,0.13805,0.85566,0.68335,0.52638,-0.40314,-0.79757,-0.73352,-1.0351,0.14438,0.81809,0.070998,-0.60014,-0.546,-1.5427,-1.3669,-1.2161,-0.93633,-0.71122,-0.506,-0.32184,-0.1682,-0.053951,0.045796,0.087669,1
208.65,0.70492,0.067675,0.28327,-0.056728,0.36661,0.13112,-0.13428,1.5097,0.48664,0.067068,-6.1557,1.3562,-0.57249,0.11103,-0.34634,-0.29024,0.20992,-0.34965,0.13478,-0.051044,-0.039007,0.10447,-0.10321,0.090333,-0.0045534,-0.03018,0.0053135,0.048374,-0.066167,0.03259,-0.033031,0.041491,-0.018709,0.019592,-0.025266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026744,-0.034333,-0.078813,-0.051338,0.51159,0.35084,0.87395,1.204,1.1005,0.56609,0.7143,0.97359,0.67159,0.62115,0.93915,0.23947,0.36915,-0.47136,-1.4352,-1.2791,-1.1718,-0.96238,-0.7665,-0.60691,-0.41376,-0.2684,-0.13403,-0.037082,0.052179,1
163.78,0.74603,0.043463,0.18354,-5.6901,0.48148,0.1206,-0.17,1.3803,0.49128,0.068668,-6.5362,1.966,-1.0064,0.26942,-0.22748,-0.67462,0.38362,-0.75586,0.28492,-0.16931,-0.024953,0.19845,-0.078877,-0.072688,0.07479,0.011608,-0.0067321,0.054308,-0.060502,0.05324,-0.077546,0.033348,0.021503,0.031867,-0.06299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5727e-05,0.0042286,0.012475,0.031832,0.15941,1.097,-0.14126,0.67355,0.68178,0.45921,0.66857,0.61727,0.52931,0.35818,0.68796,1.1412,0.11027,0.78274,-0.46696,-1.279,-1.0899,-1.0291,-0.87658,-0.74456,-0.64557,-0.43555,-0.33586,-0.23963,-0.1582,-0.11257,1
142.56,0.73529,0.018665,0.068402,-3.7131,0.64776,0.11326,-0.14432,1.293,0.40932,0.15871,-6.3735,1.9879,-1.2802,0.093041,-0.43122,-0.50695,0.43016,-0.76699,0.40907,-0.21142,-0.00086034,0.15356,-0.13605,-0.024371,-0.039538,0.11548,-0.070028,0.087125,-0.023712,0.015294,-0.048582,0.052483,-0.046779,0.063572,-0.045084,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032526,-0.00084505,-0.0099497,-0.0047676,0.0082641,-0.047719,-0.40259,0.12858,0.43583,-0.55592,-1.1776,-0.6886,-0.53405,-1.0158,-1.0503,-1.2445,-1.2292,-0.17136,-0.99424,-0.41521,-1.1103,-0.96118,-0.90273,-0.82316,-0.69199,-0.62535,-0.49951,-0.43211,-0.32289,-0.21128,-0.12499,1
174.41,0.71086,0.047976,0.21323,-2.0753,0.39861,0.12914,-0.13614,1.5216,0.48485,0.13493,-6.219,1.1788,-0.50287,0.12555,-0.45013,-0.31676,0.1009,-0.38457,-0.014408,0.014316,-0.011811,0.12753,-0.09585,0.016463,-0.013927,0.004628,-0.010011,0.05303,-0.043818,0.022132,0.0039718,-0.017287,0.018509,0.029334,-0.03709,0.0,0.0,0.0,0.0,0.0,0.0,0.00019342,0.0028614,0.023096,0.063782,0.27363,0.04394,0.51566,0.29606,0.18928,0.94849,0.68867,0.56362,0.62638,0.28023,0.61287,0.89294,0.70502,0.63192,0.4598,-0.37267,-1.2637,-1.1052,-1.0533,-0.89411,-0.75225,-0.65433,-0.48276,-0.38583,-0.29039,-0.1827,-0.10538,1
